SM_CODE_NEW,SUP,SALES_CODE,LINE_NEW,Year,Quarter,Month,Group_Sales,PRD Type,PRODUCT_NAME_NEW,item Code,item Name,Target
OTB,OB2,OB25,LINE2,2026,Q2,4,Existing Products,Other Product,NEUMANTINE/MEMO,1-NE013,Neumantine  1x2x14's  (Box),"5,225"
OTB,OB2,OB25,LINE2,2026,Q2,4,Existing Products,Other Product,SINAFIL,1-SI006,SINAFIL-50 1X4'S(Thai)(BOX),"2,375"
OTB,OB2,OB25,LINE2,2026,Q2,4,Existing Products,Other Product,SINAFIL,1-SI007,SINAFIL-100 1X2'S(Thai)(BOX), -   
OTB,OB2,OB25,LINE2,2026,Q2,4,Existing Products,Other Product,MCXY PARA,1-MC020,MCXY PARA (Strip)1x10x10s, -   
OTB,OB2,OB25,LINE2,2026,Q2,4,Existing Products,Other Product,MCXY PARA,1-MC023,MCXY PARA (Brister)1x10x10s,950
OTB,OB2,OB25,LINE2,2026,Q2,4,Existing Products,Other Product,MILLITAM,1-MI012,MILLITAM-250 1X3X10'S, -   
OTB,OB2,OB25,LINE2,2026,Q2,4,Existing Products,Other Product,MILLITAM,1-MI013,MILLITAM-500 1X6X10'S, -   
OTB,OB2,OB25,LINE2,2026,Q2,4,Existing Products,Other Product,MONET,1-MO004,MONET 1X10X10'S,950
OTB,OB2,OB25,LINE2,2026,Q2,5,New Product,New Product,DROGESTON,1-DR001,DROGESTON 1x1x10s,"1,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,New Product,New Product,MONAS,1-MO007,MONAS 1x21S,"28,500"
OTB,OB2,OB25,LINE2,2026,Q2,5,New Product,New Product,Ophtocin eye drop,BFS-2-OP001,Ophtocin eye drop 5 ml 1x5 mL,"2,850"
OTB,OB2,OB25,LINE2,2026,Q2,5,New Product,New Product,T-OPH EYE DROPS,BFS-1-TO001,T-OPH  EYE DROPS 1X5 ML,"1,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,New Product,New Product,T-OPH EYE DROPS,BFS-2-TO001,T-OPH(SOC) 5 ML    1 x 5 ML,"1,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"4,750"
OTB,OB2,OB25,LINE2,2026,Q2,5,New Product,New Product,ZOMOXIN EYE DROPS,BFS-1-ZO001,ZOMOXIN EYE DROPS 1X5 ML,"4,750"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,AVAFAST,1-AV001,AVAFAST-180 1X10'S,"47,500"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"23,750"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,FINASCAR,1-FI001,FINASCAR 5 MG.(Blister Unit dose) 1X3X10S,"1,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,FINASCIA,1-FI002,FINASCIA   1X3X10S,"2,850"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"58,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,MCXY COLD,1-MC022,MCXY-COLD  1x12x10S,"9,500"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,NITE CAP,3-NI002,NITE CAP 1X10X10S (BOX),"3,800"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"20,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"19,000"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"7,600"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,950
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,CAZOSIN,1-CA045,CAZOSIN 2 mg.(Blister) 1X10X10'S,950
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,CAZOSIN,1-CA046,CAZOSIN 4MG.(Blister)  1X10X10'S,950
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,CYSTALINE,1-CY001,CYSTALINE  1x10'S,"42,750"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,CYSTALINE,1-CY007,Cystaline Effervescent Tablet (Strip) 1x5x4's,"7,600"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,CLEO,1-CL001,CLEO  1X50X28'S (BOX), -   
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,DENOX,9-DE001,DENOX 1X10 ML (0.05%),"1,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,DENOX,9-DE002,DENOX 1X10 ML (0.1%),"2,850"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,EZB-10,1-EZ001,EZB-10 1X3X10'S,"8,550"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,FLOXY EAR DROPS,BFS-1-FL003,FLOXY EAR DROPS(BFS) 1X5 ML,"8,550"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,K-ZUVA,1-KZ001,K-ZUVA 20 1X3X10'S,"1,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,K-ZUVA,1-KZ002,K-ZUVA  10 1X3X10'S,"1,425"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,METFOR,1-ME002,METFOR-500 1X10X10'S,"2,850"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,METFOR,1-ME029,METFOR-850 1X10X10'S,570
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MEXY SYRUP,2-ME004,MEXY SYRUP 1X60 ML (กล่องรูปเด็ก),"3,800"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MILLIOPH,BFS-1-MI011,MILLIOPH EYEDROP 5 ml 1X5 ml,"5,700"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MILLIOPH,BFS-1-MI012,MILLIOPH EYEDROP 10 ml 1X10 ml,"7,600"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MILTEAR,BFS-1-MI005,MILTEAR 1X30X1 ML,"13,300"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MILTEAR,BFS-1-MI015,MILTEAR MD 1X10 ML,"34,200"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MINOZ,1-MI011,MINOZ 28 1X28'S,"17,100"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MONKAST,1-MO005,MONKAST-10 1X2X14'S,"3,325"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MONKAST,1-MO006,MONKAST-5 1X2X14'S,"1,900"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,NEUMANTINE/MEMO,1-NE013,Neumantine  1x2x14's  (Box),"5,225"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,SINAFIL,1-SI006,SINAFIL-50 1X4'S(Thai)(BOX),"2,375"
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,SINAFIL,1-SI007,SINAFIL-100 1X2'S(Thai)(BOX), -   
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MCXY PARA,1-MC020,MCXY PARA (Strip)1x10x10s, -   
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MCXY PARA,1-MC023,MCXY PARA (Brister)1x10x10s,950
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MILLITAM,1-MI012,MILLITAM-250 1X3X10'S, -   
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MILLITAM,1-MI013,MILLITAM-500 1X6X10'S, -   
OTB,OB2,OB25,LINE2,2026,Q2,5,Existing Products,Other Product,MONET,1-MO004,MONET 1X10X10'S,950
OTB,OB2,OB25,LINE2,2026,Q2,6,New Product,New Product,DROGESTON,1-DR001,DROGESTON 1x1x10s,"2,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,New Product,New Product,MONAS,1-MO007,MONAS 1x21S,"34,500"
OTB,OB2,OB25,LINE2,2026,Q2,6,New Product,New Product,Ophtocin eye drop,BFS-2-OP001,Ophtocin eye drop 5 ml 1x5 mL,"3,450"
OTB,OB2,OB25,LINE2,2026,Q2,6,New Product,New Product,T-OPH EYE DROPS,BFS-1-TO001,T-OPH  EYE DROPS 1X5 ML,"2,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,New Product,New Product,T-OPH EYE DROPS,BFS-2-TO001,T-OPH(SOC) 5 ML    1 x 5 ML,"2,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"5,750"
OTB,OB2,OB25,LINE2,2026,Q2,6,New Product,New Product,ZOMOXIN EYE DROPS,BFS-1-ZO001,ZOMOXIN EYE DROPS 1X5 ML,"5,750"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,AVAFAST,1-AV001,AVAFAST-180 1X10'S,"57,500"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"28,750"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,FINASCAR,1-FI001,FINASCAR 5 MG.(Blister Unit dose) 1X3X10S,"2,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,FINASCIA,1-FI002,FINASCIA   1X3X10S,"3,450"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"71,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,MCXY COLD,1-MC022,MCXY-COLD  1x12x10S,"11,500"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,NITE CAP,3-NI002,NITE CAP 1X10X10S (BOX),"4,600"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"25,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"23,000"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"9,200"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,"1,150"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,CAZOSIN,1-CA045,CAZOSIN 2 mg.(Blister) 1X10X10'S,"1,150"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,CAZOSIN,1-CA046,CAZOSIN 4MG.(Blister)  1X10X10'S,"1,150"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,CYSTALINE,1-CY001,CYSTALINE  1x10'S,"51,750"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,CYSTALINE,1-CY007,Cystaline Effervescent Tablet (Strip) 1x5x4's,"9,200"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,CLEO,1-CL001,CLEO  1X50X28'S (BOX), -   
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,DENOX,9-DE001,DENOX 1X10 ML (0.05%),"2,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,DENOX,9-DE002,DENOX 1X10 ML (0.1%),"3,450"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,EZB-10,1-EZ001,EZB-10 1X3X10'S,"10,350"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,FLOXY EAR DROPS,BFS-1-FL003,FLOXY EAR DROPS(BFS) 1X5 ML,"10,350"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,K-ZUVA,1-KZ001,K-ZUVA 20 1X3X10'S,"2,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,K-ZUVA,1-KZ002,K-ZUVA  10 1X3X10'S,"1,725"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,METFOR,1-ME002,METFOR-500 1X10X10'S,"3,450"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,METFOR,1-ME029,METFOR-850 1X10X10'S,690
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MEXY SYRUP,2-ME004,MEXY SYRUP 1X60 ML (กล่องรูปเด็ก),"4,600"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MILLIOPH,BFS-1-MI011,MILLIOPH EYEDROP 5 ml 1X5 ml,"6,900"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MILLIOPH,BFS-1-MI012,MILLIOPH EYEDROP 10 ml 1X10 ml,"9,200"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MILTEAR,BFS-1-MI005,MILTEAR 1X30X1 ML,"16,100"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MILTEAR,BFS-1-MI015,MILTEAR MD 1X10 ML,"41,400"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MINOZ,1-MI011,MINOZ 28 1X28'S,"20,700"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MONKAST,1-MO005,MONKAST-10 1X2X14'S,"4,025"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MONKAST,1-MO006,MONKAST-5 1X2X14'S,"2,300"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,NEUMANTINE/MEMO,1-NE013,Neumantine  1x2x14's  (Box),"6,325"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,SINAFIL,1-SI006,SINAFIL-50 1X4'S(Thai)(BOX),"2,875"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,SINAFIL,1-SI007,SINAFIL-100 1X2'S(Thai)(BOX), -   
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MCXY PARA,1-MC020,MCXY PARA (Strip)1x10x10s, -   
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MCXY PARA,1-MC023,MCXY PARA (Brister)1x10x10s,"1,150"
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MILLITAM,1-MI012,MILLITAM-250 1X3X10'S, -   
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MILLITAM,1-MI013,MILLITAM-500 1X6X10'S, -   
OTB,OB2,OB25,LINE2,2026,Q2,6,Existing Products,Other Product,MONET,1-MO004,MONET 1X10X10'S,"1,150"
OTB,OB2,OB25,LINE2,2026,Q3,7,New Product,New Product,DROGESTON,1-DR001,DROGESTON 1x1x10s,"2,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,New Product,New Product,MONAS,1-MO007,MONAS 1x21S,"30,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,New Product,New Product,Ophtocin eye drop,BFS-2-OP001,Ophtocin eye drop 5 ml 1x5 mL,"3,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,New Product,New Product,T-OPH EYE DROPS,BFS-1-TO001,T-OPH  EYE DROPS 1X5 ML,"2,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,New Product,New Product,T-OPH EYE DROPS,BFS-2-TO001,T-OPH(SOC) 5 ML    1 x 5 ML,"2,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"5,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,New Product,New Product,ZOMOXIN EYE DROPS,BFS-1-ZO001,ZOMOXIN EYE DROPS 1X5 ML,"5,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,AVAFAST,1-AV001,AVAFAST-180 1X10'S,"50,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"25,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,FINASCAR,1-FI001,FINASCAR 5 MG.(Blister Unit dose) 1X3X10S,"2,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,FINASCIA,1-FI002,FINASCIA   1X3X10S,"3,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"62,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,MCXY COLD,1-MC022,MCXY-COLD  1x12x10S,"10,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,NITE CAP,3-NI002,NITE CAP 1X10X10S (BOX),"4,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"22,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"20,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"8,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,"1,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,CAZOSIN,1-CA045,CAZOSIN 2 mg.(Blister) 1X10X10'S,"1,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,CAZOSIN,1-CA046,CAZOSIN 4MG.(Blister)  1X10X10'S,"1,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,CYSTALINE,1-CY001,CYSTALINE  1x10'S,"45,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,CYSTALINE,1-CY007,Cystaline Effervescent Tablet (Strip) 1x5x4's,"8,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,CLEO,1-CL001,CLEO  1X50X28'S (BOX), -   
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,DENOX,9-DE001,DENOX 1X10 ML (0.05%),"2,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,DENOX,9-DE002,DENOX 1X10 ML (0.1%),"3,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,EZB-10,1-EZ001,EZB-10 1X3X10'S,"9,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,FLOXY EAR DROPS,BFS-1-FL003,FLOXY EAR DROPS(BFS) 1X5 ML,"9,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,K-ZUVA,1-KZ001,K-ZUVA 20 1X3X10'S,"2,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,K-ZUVA,1-KZ002,K-ZUVA  10 1X3X10'S,"1,500"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,METFOR,1-ME002,METFOR-500 1X10X10'S,"3,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,METFOR,1-ME029,METFOR-850 1X10X10'S,600
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MEXY SYRUP,2-ME004,MEXY SYRUP 1X60 ML (กล่องรูปเด็ก),"4,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MILLIOPH,BFS-1-MI011,MILLIOPH EYEDROP 5 ml 1X5 ml,"6,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MILLIOPH,BFS-1-MI012,MILLIOPH EYEDROP 10 ml 1X10 ml,"8,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MILTEAR,BFS-1-MI005,MILTEAR 1X30X1 ML,"14,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MILTEAR,BFS-1-MI015,MILTEAR MD 1X10 ML,"36,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MINOZ,1-MI011,MINOZ 28 1X28'S,"18,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MONKAST,1-MO005,MONKAST-10 1X2X14'S,"3,500"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MONKAST,1-MO006,MONKAST-5 1X2X14'S,"2,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,NEUMANTINE/MEMO,1-NE013,Neumantine  1x2x14's  (Box),"5,500"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,SINAFIL,1-SI006,SINAFIL-50 1X4'S(Thai)(BOX),"2,500"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,SINAFIL,1-SI007,SINAFIL-100 1X2'S(Thai)(BOX), -   
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MCXY PARA,1-MC020,MCXY PARA (Strip)1x10x10s, -   
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MCXY PARA,1-MC023,MCXY PARA (Brister)1x10x10s,"1,000"
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MILLITAM,1-MI012,MILLITAM-250 1X3X10'S, -   
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MILLITAM,1-MI013,MILLITAM-500 1X6X10'S, -   
OTB,OB2,OB25,LINE2,2026,Q3,7,Existing Products,Other Product,MONET,1-MO004,MONET 1X10X10'S,"1,000"
OTB,OB2,OB25,LINE2,2026,Q3,8,New Product,New Product,DROGESTON,1-DR001,DROGESTON 1x1x10s,"2,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,New Product,New Product,MONAS,1-MO007,MONAS 1x21S,"37,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,New Product,New Product,Ophtocin eye drop,BFS-2-OP001,Ophtocin eye drop 5 ml 1x5 mL,"3,750"
OTB,OB2,OB25,LINE2,2026,Q3,8,New Product,New Product,T-OPH EYE DROPS,BFS-1-TO001,T-OPH  EYE DROPS 1X5 ML,"2,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,New Product,New Product,T-OPH EYE DROPS,BFS-2-TO001,T-OPH(SOC) 5 ML    1 x 5 ML,"2,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"6,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,New Product,New Product,ZOMOXIN EYE DROPS,BFS-1-ZO001,ZOMOXIN EYE DROPS 1X5 ML,"6,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,AVAFAST,1-AV001,AVAFAST-180 1X10'S,"62,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"31,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,FINASCAR,1-FI001,FINASCAR 5 MG.(Blister Unit dose) 1X3X10S,"2,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,FINASCIA,1-FI002,FINASCIA   1X3X10S,"3,750"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"77,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,MCXY COLD,1-MC022,MCXY-COLD  1x12x10S,"12,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,NITE CAP,3-NI002,NITE CAP 1X10X10S (BOX),"5,000"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"27,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"25,000"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"10,000"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,"1,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,CAZOSIN,1-CA045,CAZOSIN 2 mg.(Blister) 1X10X10'S,"1,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,CAZOSIN,1-CA046,CAZOSIN 4MG.(Blister)  1X10X10'S,"1,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,CYSTALINE,1-CY001,CYSTALINE  1x10'S,"56,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,CYSTALINE,1-CY007,Cystaline Effervescent Tablet (Strip) 1x5x4's,"10,000"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,CLEO,1-CL001,CLEO  1X50X28'S (BOX), -   
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,DENOX,9-DE001,DENOX 1X10 ML (0.05%),"2,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,DENOX,9-DE002,DENOX 1X10 ML (0.1%),"3,750"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,EZB-10,1-EZ001,EZB-10 1X3X10'S,"11,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,FLOXY EAR DROPS,BFS-1-FL003,FLOXY EAR DROPS(BFS) 1X5 ML,"11,250"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,K-ZUVA,1-KZ001,K-ZUVA 20 1X3X10'S,"2,500"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,K-ZUVA,1-KZ002,K-ZUVA  10 1X3X10'S,"1,875"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,METFOR,1-ME002,METFOR-500 1X10X10'S,"3,750"
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,METFOR,1-ME029,METFOR-850 1X10X10'S,750
OTB,OB2,OB25,LINE2,2026,Q3,8,Existing Products,Other Product,MEXY SYRUP,2-ME004,MEXY SYRUP 1X60 ML (กล่องรูปเด็ก),"5,000"
